"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
7,221300417E-1;-3,405670166E0;-4,762678146E0;-5,116488647E1;5,149880873E1
7,321720417E-1;-3,394577026E0;-4,561891556E0;-5,049090576E1;5,081009321E1
7,422140417E-1;-3,318557739E0;-4,669130325E0;-5,088958740E1;5,121097255E1
7,522570417E-1;-3,296142578E0;-4,396743774E0;-5,058755493E1;5,088513168E1
7,622990417E-1;-3,358291626E0;-4,431566238E0;-5,089672852E1;5,119954956E1
7,723410417E-1;-3,296844482E0;-4,326435089E0;-5,078616333E1;5,107662489E1
7,823830417E-1;-3,305358887E0;-4,344957352E0;-5,037765503E1;5,067259790E1
7,924260417E-1;-3,314514160E0;-4,280607224E0;-5,060995483E1;5,089869478E1
8,024680417E-1;-3,415679932E0;-4,629365921E0;-5,090026855E1;5,122436175E1
8,125100417E-1;-3,414276123E0;-4,490896225E0;-5,100637817E1;5,131740489E1
8,225530417E-1;-3,392074585E0;-4,475622177E0;-5,093222046E1;5,124088646E1
8,325950417E-1;-3,503448486E0;-4,423845291E0;-5,091610718E1;5,122786867E1
8,426370417E-1;-3,555221558E0;-4,401838303E0;-5,068798828E1;5,100282283E1
8,526790417E-1;-3,609741211E0;-4,280530930E0;-5,057781982E1;5,088682575E1
8,627220417E-1;-3,485473633E0;-4,382619858E0;-5,043133545E1;5,074126012E1
8,727640417E-1;-3,465316772E0;-4,499713898E0;-5,052154541E1;5,083977179E1
8,828060417E-1;-3,370132446E0;-4,485784531E0;-5,057678223E1;5,088704114E1
8,928480417E-1;-3,333557129E0;-4,554531097E0;-5,073422241E1;5,104721031E1
9,028910417E-1;-3,434982300E0;-4,695034027E0;-5,068899536E1;5,102172771E1
9,129330417E-1;-3,392715454E0;-4,700626373E0;-5,133874512E1;5,166500902E1
9,229750417E-1;-3,311691284E0;-4,521417618E0;-5,118765259E1;5,149355585E1
9,330180417E-1;-3,399505615E0;-4,449913025E0;-5,088461304E1;5,119181779E1
9,430600417E-1;-3,547317505E0;-4,275405884E0;-5,081286621E1;5,111565249E1
9,531020417E-1;-3,476501465E0;-4,473369598E0;-5,074557495E1;5,106085071E1
9,631440417E-1;-3,986236572E0;-4,652919769E0;-5,082449341E1;5,119246892E1
9,731870417E-1;-3,667114258E0;-4,760774612E0;-5,089093018E1;5,124450679E1
9,832290417E-1;-3,536849976E0;-4,480823517E0;-5,068215942E1;5,100263102E1
9,932710417E-1;-3,643676758E0;-4,626647949E0;-5,099127197E1;5,133022569E1
1,003313042E0;-3,440353394E0;-4,649648666E0;-5,072091675E1;5,104964897E1
1,013356042E0;-3,785552979E0;-4,539962769E0;-5,071597290E1;5,105929475E1
1,023398042E0;-3,587936401E0;-4,531646729E0;-5,096209717E1;5,128883365E1
1,033440042E0;-3,664199829E0;-4,487066269E0;-5,086880493E1;5,119761166E1
1,043482042E0;-3,503799438E0;-4,493515015E0;-5,098831177E1;5,130571337E1
1,053525042E0;-3,500961304E0;-4,638273239E0;-5,083325195E1;5,116434122E1
1,063567042E0;-3,466644287E0;-4,646015167E0;-5,078094482E1;5,111073700E1
1,073609042E0;-3,644744873E0;-4,673206329E0;-5,073773193E1;5,108268263E1
1,083651042E0;-3,646163940E0;-4,644289017E0;-5,080493164E1;5,114689640E1
1,093694042E0;-3,624740601E0;-4,604402542E0;-5,062490845E1;5,096293381E1
1,103736042E0;-3,673385620E0;-4,903009415E0;-5,087945557E1;5,124697320E1
1,113778042E0;-3,476852417E0;-4,547578812E0;-5,040509033E1;5,072910513E1
1,123821042E0;-3,577651978E0;-4,668975830E0;-5,055166626E1;5,089272925E1
1,133863042E0;-3,262145996E0;-4,483089447E0;-5,066744995E1;5,096989476E1
1,143905042E0;-3,538467407E0;-4,677179337E0;-5,103869629E1;5,137455866E1
