"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
7,222796250E-1;-1,811872864E1;-3,626777649E1;-6,828192139E1;7,941070915E1
7,323216250E-1;-1,795928955E1;-3,625915527E1;-6,864193726E1;7,968047422E1
7,423636250E-1;-1,785459900E1;-3,630473328E1;-6,859136963E1;7,963414061E1
7,524066250E-1;-1,796037292E1;-3,595551300E1;-6,873861694E1;7,962644894E1
7,624486250E-1;-1,802511597E1;-3,622506714E1;-6,842684937E1;7,949461623E1
7,724906250E-1;-1,801347351E1;-3,613887787E1;-6,851538086E1;7,952899557E1
7,825326250E-1;-1,805360413E1;-3,606920624E1;-6,872378540E1;7,968612765E1
7,925756250E-1;-1,813417053E1;-3,576126099E1;-6,843811035E1;7,931891878E1
8,026176250E-1;-1,834812927E1;-3,577998352E1;-6,808682251E1;7,907386716E1
8,126562917E-1;-1,831655884E1;-3,590242004E1;-6,860574341E1;7,956901483E1
8,226982917E-1;-1,834523010E1;-3,580533600E1;-6,893508911E1;7,981613912E1
8,327402917E-1;-1,828974915E1;-3,545854950E1;-6,881796265E1;7,954706556E1
8,427832917E-1;-1,795423889E1;-3,543395996E1;-6,852896118E1;7,920946114E1
8,528252917E-1;-1,815074158E1;-3,516418457E1;-6,876504517E1;7,933851986E1
8,628672917E-1;-1,820364380E1;-3,539863586E1;-6,905429077E1;7,970527675E1
8,729092917E-1;-1,789968872E1;-3,508446503E1;-6,856024170E1;7,906848477E1
8,829522917E-1;-1,787236023E1;-3,506630707E1;-6,843783569E1;7,894811274E1
8,929942917E-1;-1,807250977E1;-3,503106689E1;-6,900540161E1;7,947035113E1
9,030362917E-1;-1,802244568E1;-3,503030396E1;-6,902108765E1;7,947226739E1
9,130782917E-1;-1,812660217E1;-3,490676880E1;-6,916595459E1;7,956749015E1
9,231202917E-1;-1,803450012E1;-3,496958160E1;-6,917883301E1;7,958533639E1
9,331632917E-1;-1,791625977E1;-3,504376221E1;-6,938308716E1;7,976885619E1
9,432052917E-1;-1,788145447E1;-3,506912994E1;-6,929690552E1;7,969724840E1
9,532472917E-1;-1,792906189E1;-3,511451721E1;-6,894494629E1;7,942220217E1
9,632892917E-1;-1,778207397E1;-3,519623566E1;-6,901617432E1;7,948716548E1
9,733322917E-1;-1,793830872E1;-3,506494141E1;-6,839703369E1;7,892710088E1
9,833742917E-1;-1,791824341E1;-3,503477478E1;-6,868511963E1;7,915898274E1
9,934162917E-1;-1,789611816E1;-3,496242523E1;-6,859936523E1;7,904754983E1
1,003458292E0;-1,794670105E1;-3,511763763E1;-6,835552979E1;7,891648119E1
1,013501292E0;-1,759353638E1;-3,501361084E1;-6,843289185E1;7,885775899E1
1,023543292E0;-1,773033142E1;-3,506985474E1;-6,826074219E1;7,876413072E1
1,033585292E0;-1,763652039E1;-3,468180084E1;-6,823284912E1;7,854677498E1
1,043627292E0;-1,793191528E1;-3,473502350E1;-6,860025024E1;7,895612564E1
1,053669292E0;-1,817047119E1;-3,458773804E1;-6,849356079E1;7,885331645E1
1,063712292E0;-1,795783997E1;-3,463278198E1;-6,851516724E1;7,884314647E1
